Date,Open,High,Low,Close,Adj Close,Volume
08/01/2001,93.5,93.9375,91.5625,93.5625,59.686066,6064800
09/01/2001,94.4375,95.75,91.4375,92.5625,59.048119,7547100
10/01/2001,92.5,94.9375,91.6875,93.4375,59.6063,7656100
11/01/2001,92.9375,94.25,91.25,93.6875,59.765762,9635000
12/01/2001,93.6875,96.4375,92.375,93.8125,59.845531,6448000
16/01/2001,93.75,94,91.8125,92.75,59.167755,5671900
17/01/2001,95.375,97.75,94.3125,96.6875,61.679577,9727000
18/01/2001,104.375,110,103.5,108.3125,69.095505,25244900
19/01/2001,107.5,113.9375,107.25,111.25,70.96936,14762200
22/01/2001,109.5,109.9375,108.1875,108.5625,69.254951,9618500
23/01/2001,109.5625,109.9375,107.625,109.0625,69.573944,9826900
24/01/2001,109.0625,111.4375,108.9375,110.4375,70.451073,6760900
25/01/2001,110.125,111.125,109.4375,110.75,70.650429,4982100
26/01/2001,109.625,115.25,109.1875,114.1875,72.843292,9095200
29/01/2001,112.5,115.5,112.470001,114.980003,73.348869,5125000
30/01/2001,115,116.75,113.400002,116.610001,74.388687,8242000
31/01/2001,115.75,116.75,112,112,71.447861,8314200
01/02/2001,112.400002,114.339996,111.199997,114.050003,72.755608,5580800
02/02/2001,112.75,113.989998,109.599998,110.269997,70.344215,5428400
05/02/2001,109.400002,112.599998,109.300003,112.220001,71.588188,5113700
06/02/2001,112.230003,115.690002,111.199997,114.190002,72.844894,7526400
07/02/2001,113.400002,117.599998,112.669998,116.910004,74.665062,9006900
08/02/2001,116.910004,118.199997,114.029999,114.099998,72.870445,8380800
09/02/2001,114.029999,114.989998,111,112,71.529251,6318800
12/02/2001,110.550003,115.720001,110.300003,114.900002,73.381363,6729300
13/02/2001,114.150002,117.379997,113.07,113.75,72.646935,7193200
14/02/2001,113.75,116.169998,112.5,115.099998,73.509079,7032900
15/02/2001,116.800003,118.639999,116.379997,116.779999,74.582031,8098700
16/02/2001,114.550003,115.75,113.940002,115,73.445221,7073000
20/02/2001,114.550003,115.599998,110.779999,111.5,71.209953,6748300
21/02/2001,109.550003,111.5,107.290001,107.510002,68.66169,9156900
22/02/2001,106.5,110.900002,103.379997,108.900002,69.549454,11709000
23/02/2001,107.5,107.5,100.25,104,66.420021,15276600
26/02/2001,105.800003,105.800003,101.830002,105.300003,67.250275,8344100
27/02/2001,104.900002,106.870003,102.559998,102.589996,65.519531,9787900
28/02/2001,102.949997,103.540001,99.099998,99.900002,63.801533,11933200
01/03/2001,99.300003,106.400002,97.5,106.050003,67.729271,15102000
02/03/2001,104,107.650002,100.940002,102.300003,65.334343,14745500
05/03/2001,102.809998,105.599998,102.639999,104.910004,67.001205,6743900
06/03/2001,106.25,108.400002,105.25,106,67.697327,8120000
07/03/2001,107.449997,108.25,105.660004,107.550003,68.687256,7788900
08/03/2001,107.169998,107.339996,105.370003,106.470001,67.997528,6793600
09/03/2001,105,105.010002,97.900002,99.290001,63.41198,16688100
12/03/2001,97.900002,98.400002,95.019997,95.489998,60.985077,14494800
13/03/2001,95.099998,98.440002,94.199997,98.389999,62.837196,12127900
14/03/2001,95.400002,98.900002,93.339996,94.959999,60.646591,14246600
15/03/2001,96,97.870003,95.169998,95.559998,61.029804,8420000
16/03/2001,93.900002,93.900002,88.199997,90.099998,57.542725,20029400
19/03/2001,91,92.800003,89.199997,92.599998,59.139362,10235500
20/03/2001,91.599998,92.029999,88.099998,88.300003,56.393177,10101100
21/03/2001,88.449997,91.599998,87.75,89.080002,56.891327,11013000
22/03/2001,89.120003,91,87.650002,89.099998,56.904102,13328200
23/03/2001,93.5,94.989998,90.290001,93.510002,59.720581,12233600
26/03/2001,95.25,95.660004,93.75,95.400002,60.927597,8581200
27/03/2001,94,100,93.970001,99.5,63.546131,11851200
28/03/2001,97.900002,98.449997,94.25,94.410004,60.295338,11890500
29/03/2001,94.459999,97.07,94.260002,95.040001,60.697689,10553700
30/03/2001,96.5,97.559998,95.139999,96.18,61.425766,9461300
02/04/2001,97.449997,98.099998,93.580002,94.660004,60.455006,8787000
03/04/2001,94.599998,94.650002,90.099998,90.389999,57.727947,13330000
04/04/2001,90.449997,94.050003,90.050003,92,58.756157,13515600
05/04/2001,95.800003,100,95.529999,98.209999,62.722221,12506100
06/04/2001,98,100,96.400002,97.949997,62.556175,13424200
09/04/2001,98.5,98.739998,93.800003,96,61.310818,9486600
10/04/2001,97,99.900002,96.559998,99.050003,63.258682,10499400
11/04/2001,101.5,101.940002,95.800003,97.43,62.224102,11498400
12/04/2001,96.400002,97.5,95.150002,96.199997,61.438534,9390100
16/04/2001,96.199997,99.889999,95.199997,96.75,61.78981,9188500
17/04/2001,97,99.879997,97,99.699997,63.673782,9957300
18/04/2001,103,110,102.300003,106.5,68.016685,19814300
19/04/2001,112,115.900002,110.449997,114.470001,73.106766,25822400
20/04/2001,114.349998,116.400002,113.75,114.830002,73.33667,12759100
23/04/2001,114.010002,114.050003,111.68,112,71.529251,8537500
24/04/2001,113.400002,114.75,112.300003,112.669998,71.957176,8742000
25/04/2001,112,114.849998,111.989998,114.849998,73.349403,6858500
26/04/2001,114.949997,116.699997,113.68,113.739998,72.640518,7346100
27/04/2001,116.800003,116.900002,114.550003,116.199997,74.211624,7390600
30/04/2001,116.400002,118.050003,114.720001,115.139999,73.53466,7357200
01/05/2001,115.849998,118.650002,114.900002,118.510002,75.686913,7790800
02/05/2001,118.300003,118.949997,113.739998,115.400002,73.700706,9706200
03/05/2001,114.599998,115.099998,112.349998,113.699997,72.615005,6578000
04/05/2001,112,115.860001,111.199997,115.860001,73.994469,8681400
